data,descricao,categoria,valor,tipo
2025-01-01,Restaurante,alimentacao,84.00,saida
2025-01-02,Uber,transporte,38.00,saida
2025-01-03,Combustivel,transporte,123.00,saida
2025-01-04,Farmacia,saude,80.00,saida
2025-01-05,Academia,saude,116.00,saida
2025-01-06,Aluguel,moradia,1187.00,saida
2025-01-07,Energia,moradia,184.00,saida
2025-01-07,Cafe,alimentacao,23.00,saida
2025-01-08,Internet,moradia,111.00,saida
2025-01-09,Streaming,lazer,47.00,saida
2025-01-10,Cinema,lazer,63.00,saida
2025-01-11,Curso Online,educacao,70.00,saida
2025-01-12,Supermercado,alimentacao,172.00,saida
2025-01-13,Restaurante,alimentacao,94.00,saida
2025-01-14,Uber,transporte,48.00,saida
2025-01-14,Manutencao Casa,moradia,137.00,saida
2025-01-14,Bonus,receita,1754.00,entrada
2025-01-15,Combustivel,transporte,133.00,saida
2025-01-16,Farmacia,saude,53.00,saida
2025-01-17,Academia,saude,89.00,saida
2025-01-18,Aluguel,moradia,1197.00,saida
2025-01-19,Energia,moradia,194.00,saida
2025-01-20,Internet,moradia,121.00,saida
2025-01-21,Streaming,lazer,57.00,saida
2025-01-21,Taxi,transporte,26.00,saida
2025-01-22,Cinema,lazer,36.00,saida
2025-01-23,Curso Online,educacao,80.00,saida
2025-01-24,Supermercado,alimentacao,182.00,saida
2025-01-25,Restaurante,alimentacao,104.00,saida
2025-01-26,Uber,transporte,58.00,saida
2025-01-27,Combustivel,transporte,106.00,saida
2025-01-28,Farmacia,saude,63.00,saida
2025-01-28,Livro,educacao,66.00,saida
2025-01-28,Freelance,receita,1308.00,entrada
2025-01-29,Academia,saude,99.00,saida
2025-01-30,Aluguel,moradia,1207.00,saida
2025-01-31,Energia,moradia,204.00,saida
2025-02-01,Internet,moradia,94.00,saida
2025-02-02,Streaming,lazer,30.00,saida
2025-02-03,Cinema,lazer,46.00,saida
2025-02-04,Curso Online,educacao,90.00,saida
2025-02-04,Padaria,alimentacao,25.00,saida
2025-02-05,Supermercado,alimentacao,192.00,saida
2025-02-06,Restaurante,alimentacao,77.00,saida
2025-02-07,Uber,transporte,31.00,saida
2025-02-08,Combustivel,transporte,116.00,saida
2025-02-09,Farmacia,saude,73.00,saida
2025-02-10,Academia,saude,109.00,saida
2025-02-11,Aluguel,moradia,1217.00,saida
2025-02-11,Cafe,alimentacao,9.00,saida
2025-02-11,Salario,receita,4861.00,entrada
2025-02-12,Energia,moradia,177.00,saida
2025-02-13,Internet,moradia,104.00,saida
2025-02-14,Streaming,lazer,40.00,saida
2025-02-15,Cinema,lazer,56.00,saida
2025-02-16,Curso Online,educacao,100.00,saida
2025-02-17,Supermercado,alimentacao,165.00,saida
2025-02-18,Restaurante,alimentacao,87.00,saida
2025-02-18,Manutencao Casa,moradia,144.00,saida
2025-02-19,Uber,transporte,41.00,saida
2025-02-20,Combustivel,transporte,126.00,saida
2025-02-21,Farmacia,saude,83.00,saida
2025-02-22,Academia,saude,82.00,saida
2025-02-23,Aluguel,moradia,1190.00,saida
2025-02-24,Energia,moradia,187.00,saida
2025-02-25,Internet,moradia,114.00,saida
2025-02-25,Taxi,transporte,33.00,saida
2025-02-25,Bonus,receita,1815.00,entrada
2025-02-26,Streaming,lazer,50.00,saida
2025-02-27,Cinema,lazer,66.00,saida
2025-02-28,Curso Online,educacao,73.00,saida
2025-03-01,Supermercado,alimentacao,175.00,saida
2025-03-02,Restaurante,alimentacao,97.00,saida
2025-03-03,Uber,transporte,51.00,saida
2025-03-04,Combustivel,transporte,136.00,saida
2025-03-04,Livro,educacao,52.00,saida
2025-03-05,Farmacia,saude,56.00,saida
2025-03-06,Academia,saude,92.00,saida
2025-03-07,Aluguel,moradia,1200.00,saida
2025-03-08,Energia,moradia,197.00,saida
2025-03-09,Internet,moradia,124.00,saida
2025-03-10,Streaming,lazer,23.00,saida
2025-03-11,Cinema,lazer,39.00,saida
2025-03-11,Padaria,alimentacao,32.00,saida
2025-03-11,Freelance,receita,1369.00,entrada
2025-03-12,Curso Online,educacao,83.00,saida
2025-03-13,Supermercado,alimentacao,185.00,saida
2025-03-14,Restaurante,alimentacao,107.00,saida
2025-03-15,Uber,transporte,24.00,saida
2025-03-16,Combustivel,transporte,109.00,saida
2025-03-17,Farmacia,saude,66.00,saida
2025-03-18,Academia,saude,102.00,saida
2025-03-18,Cafe,alimentacao,16.00,saida
2025-03-19,Aluguel,moradia,1210.00,saida
2025-03-20,Energia,moradia,207.00,saida
2025-03-21,Internet,moradia,97.00,saida
2025-03-22,Streaming,lazer,33.00,saida
2025-03-23,Cinema,lazer,49.00,saida
2025-03-24,Curso Online,educacao,93.00,saida
2025-03-25,Supermercado,alimentacao,195.00,saida
2025-03-25,Manutencao Casa,moradia,130.00,saida
2025-03-25,Salario,receita,4922.00,entrada
2025-03-26,Restaurante,alimentacao,80.00,saida
2025-03-27,Uber,transporte,34.00,saida
2025-03-28,Combustivel,transporte,119.00,saida
2025-03-29,Farmacia,saude,76.00,saida
2025-03-30,Academia,saude,112.00,saida
2025-03-31,Aluguel,moradia,1183.00,saida
2025-04-01,Energia,moradia,180.00,saida
2025-04-01,Taxi,transporte,40.00,saida
2025-04-02,Internet,moradia,107.00,saida
2025-04-03,Streaming,lazer,43.00,saida
2025-04-04,Cinema,lazer,59.00,saida
2025-04-05,Curso Online,educacao,103.00,saida
2025-04-06,Supermercado,alimentacao,168.00,saida
2025-04-07,Restaurante,alimentacao,90.00,saida
2025-04-08,Uber,transporte,44.00,saida
2025-04-08,Livro,educacao,59.00,saida
2025-04-08,Bonus,receita,1876.00,entrada
2025-04-09,Combustivel,transporte,129.00,saida
2025-04-10,Farmacia,saude,86.00,saida
2025-04-11,Academia,saude,85.00,saida
2025-04-12,Aluguel,moradia,1193.00,saida
2025-04-13,Energia,moradia,190.00,saida
2025-04-14,Internet,moradia,117.00,saida
2025-04-15,Streaming,lazer,53.00,saida
2025-04-15,Padaria,alimentacao,18.00,saida
2025-04-16,Cinema,lazer,32.00,saida
2025-04-17,Curso Online,educacao,76.00,saida
2025-04-18,Supermercado,alimentacao,178.00,saida
2025-04-19,Restaurante,alimentacao,100.00,saida
2025-04-20,Uber,transporte,54.00,saida
